frame_id,ID,object_present,object_type,age,social
160,255695,0,book,5.06,child and adult present
160,255695,0,food,5.06,child and adult present
160,255695,0,kitchenware,5.06,child and adult present
160,255695,0,other_object,5.06,child and adult present
160,255695,0,screen,5.06,child and adult present
160,255695,1,toy,5.06,child and adult present
180,255695,0,book,5.06,child and adult present
180,255695,0,food,5.06,child and adult present
180,255695,1,kitchenware,5.06,child and adult present
180,255695,0,other_object,5.06,child and adult present
180,255695,0,screen,5.06,child and adult present
180,255695,0,toy,5.06,child and adult present
470,255695,0,book,5.06,child and adult present
470,255695,0,food,5.06,child and adult present
470,255695,1,kitchenware,5.06,child and adult present
470,255695,0,other_object,5.06,child and adult present
470,255695,0,screen,5.06,child and adult present
470,255695,0,toy,5.06,child and adult present
580,255695,0,book,5.06,adult present
580,255695,0,food,5.06,adult present
580,255695,1,kitchenware,5.06,adult present
580,255695,0,other_object,5.06,adult present
580,255695,0,screen,5.06,adult present
580,255695,0,toy,5.06,adult present
1620,255695,0,book,5.06,adult present
1620,255695,0,food,5.06,adult present
1620,255695,1,kitchenware,5.06,adult present
1620,255695,0,other_object,5.06,adult present
1620,255695,0,screen,5.06,adult present
1620,255695,0,toy,5.06,adult present
2220,255695,0,book,5.06,adult present
2220,255695,0,food,5.06,adult present
2220,255695,1,kitchenware,5.06,adult present
2220,255695,0,other_object,5.06,adult present
2220,255695,0,screen,5.06,adult present
2220,255695,0,toy,5.06,adult present
2710,255695,0,book,5.06,alone
2710,255695,0,food,5.06,alone
2710,255695,1,kitchenware,5.06,alone
2710,255695,0,other_object,5.06,alone
2710,255695,0,screen,5.06,alone
2710,255695,0,toy,5.06,alone
3780,255695,0,book,5.06,child present
3780,255695,0,food,5.06,child present
3780,255695,1,kitchenware,5.06,child present
3780,255695,0,other_object,5.06,child present
3780,255695,0,screen,5.06,child present
3780,255695,0,toy,5.06,child present
4420,255695,0,book,5.06,alone
4420,255695,0,food,5.06,alone
4420,255695,1,kitchenware,5.06,alone
4420,255695,0,other_object,5.06,alone
4420,255695,0,screen,5.06,alone
4420,255695,0,toy,5.06,alone
4570,255695,0,book,5.06,alone
4570,255695,0,food,5.06,alone
4570,255695,1,kitchenware,5.06,alone
4570,255695,0,other_object,5.06,alone
4570,255695,0,screen,5.06,alone
4570,255695,0,toy,5.06,alone
4640,255695,0,book,5.06,child present
4640,255695,0,food,5.06,child present
4640,255695,1,kitchenware,5.06,child present
4640,255695,0,other_object,5.06,child present
4640,255695,0,screen,5.06,child present
4640,255695,0,toy,5.06,child present
5770,255695,0,book,5.06,child and adult present
5770,255695,0,food,5.06,child and adult present
5770,255695,1,kitchenware,5.06,child and adult present
5770,255695,0,other_object,5.06,child and adult present
5770,255695,0,screen,5.06,child and adult present
5770,255695,0,toy,5.06,child and adult present
6820,255695,0,book,5.06,adult present
6820,255695,0,food,5.06,adult present
6820,255695,0,kitchenware,5.06,adult present
