video_id,frame_number,child_id,age,interaction_type
2,30,264089,3.69,person-only
2,40,264089,3.69,multimodal
2,290,264089,3.69,multimodal
2,1310,264089,3.69,person-only
2,1600,264089,3.69,person-only
2,1670,264089,3.69,person-only
2,1940,264089,3.69,person-only
2,2020,264089,3.69,person-only
2,2530,264089,3.69,person-only
2,2780,264089,3.69,person-only
2,2940,264089,3.69,person-only
2,3550,264089,3.69,multimodal
2,4040,264089,3.69,person-only
2,4220,264089,3.69,person-only
2,4230,264089,3.69,multimodal
2,4250,264089,3.69,multimodal
2,4530,264089,3.69,person-only
2,4590,264089,3.69,person-only
2,4900,264089,3.69,multimodal
2,5190,264089,3.69,multimodal
2,5220,264089,3.69,person-only
2,5450,264089,3.69,person-only
2,5610,264089,3.69,person-only
2,5930,264089,3.69,person-only
2,6010,264089,3.69,person-only
2,6150,264089,3.69,person-only
2,6600,264089,3.69,person-only
2,6860,264089,3.69,person-only
2,6940,264089,3.69,person-only
2,6960,264089,3.69,person-only
2,7220,264089,3.69,person-only
2,7230,264089,3.69,person-only
2,8060,264089,3.69,person-only
2,8620,264089,3.69,person-only
2,9070,264089,3.69,speech-only
2,9390,264089,3.69,multimodal
2,9520,264089,3.69,person-only
2,9570,264089,3.69,person-only
2,10620,264089,3.69,multimodal
2,10970,264089,3.69,person-only
2,11200,264089,3.69,multimodal
2,11240,264089,3.69,multimodal
2,11510,264089,3.69,multimodal
2,11630,264089,3.69,multimodal
2,13890,264089,3.69,person-only
2,13950,264089,3.69,person-only
2,14010,264089,3.69,person-only
2,15050,264089,3.69,multimodal
2,16310,264089,3.69,multimodal
2,17130,264089,3.69,person-only
2,17960,264089,3.69,person-only
2,17990,264089,3.69,person-only
2,18010,264089,3.69,person-only
2,18990,264089,3.69,person-only
2,19720,264089,3.69,multimodal
2,19740,264089,3.69,multimodal
2,19750,264089,3.69,multimodal
2,20690,264089,3.69,person-only
2,20730,264089,3.69,multimodal
2,20860,264089,3.69,person-only
2,20930,264089,3.69,multimodal
2,22290,264089,3.69,person-only
2,22490,264089,3.69,person-only
2,22800,264089,3.69,person-only
2,22990,264089,3.69,multimodal
2,23720,264089,3.69,person-only
2,23820,264089,3.69,person-only
2,24230,264089,3.69,multimodal
2,24540,264089,3.69,person-only
2,24590,264089,3.69,person-only
2,24720,264089,3.69,person-only
2,24730,264089,3.69,person-only
2,24970,264089,3.69,person-only
2,25000,264089,3.69,person-only
2,25590,264089,3.69,person-only
2,26170,264089,3.69,person-only
2,26690,264089,3.69,person-only
2,26800,264089,3.69,person-only
2,27120,264089,3.69,person-only
2,27600,264089,3.69,person-only
2,27950,264089,3.69,person-only
2,28120,264089,3.69,speech-only
2,28180,264089,3.69,person-only
2,28600,264089,3.69,person-only
2,28910,264089,3.69,person-only
2,29500,264089,3.69,person-only
2,29790,264089,3.69,person-only
2,29990,264089,3.69,multimodal
2,30540,264089,3.69,person-only
2,30590,264089,3.69,person-only
2,30800,264089,3.69,person-only
2,33490,264089,3.69,multimodal
2,34190,264089,3.69,multimodal
2,34730,264089,3.69,multimodal
2,35060,264089,3.69,multimodal
2,35380,264089,3.69,person-only
2,35550,264089,3.69,person-only
2,35600,264089,3.69,person-only
2,35620,264089,3.69,person-only
2,36030,264089,3.69,multimodal
