video_id,frame_number,child_id,kchi_present,age,play_context
22,20,264356,0,3.68,social
22,850,264356,1,3.68,social
22,5530,264356,0,3.68,social
22,7870,264356,0,3.68,social
22,8280,264356,0,3.68,social
22,9480,264356,0,3.68,social
22,11580,264356,0,3.68,social
22,12550,264356,0,3.68,social
22,14760,264356,1,3.68,social
22,16310,264356,1,3.68,social
22,16460,264356,0,3.68,social
22,17130,264356,0,3.68,alone
22,17210,264356,1,3.68,social
22,17230,264356,0,3.68,alone
22,18060,264356,0,3.68,social
22,19240,264356,0,3.68,alone
22,22210,264356,1,3.68,alone
22,22940,264356,1,3.68,social
22,23080,264356,0,3.68,social
22,25950,264356,0,3.68,social
22,26000,264356,0,3.68,social
22,26890,264356,1,3.68,social
22,28990,264356,1,3.68,alone
22,29360,264356,0,3.68,alone
22,29870,264356,0,3.68,social
22,31140,264356,0,3.68,social
22,31500,264356,0,3.68,alone
45,160,262726,1,4.37,alone
45,820,262726,0,4.37,alone
45,1400,262726,0,4.37,alone
45,2010,262726,0,4.37,alone
45,2420,262726,0,4.37,social
45,2830,262726,1,4.37,social
45,5050,262726,1,4.37,social
45,6200,262726,0,4.37,social
45,7470,262726,0,4.37,social
45,7680,262726,0,4.37,social
45,8470,262726,0,4.37,social
45,10460,262726,0,4.37,alone
45,11160,262726,0,4.37,alone
45,11170,262726,0,4.37,alone
45,14380,262726,0,4.37,social
45,14590,262726,0,4.37,social
45,16100,262726,0,4.37,social
45,16460,262726,1,4.37,social
45,16950,262726,1,4.37,social
45,18250,262726,1,4.37,social
45,20530,262726,0,4.37,alone
45,20750,262726,1,4.37,social
45,21370,262726,0,4.37,alone
45,22520,262726,1,4.37,social
45,24510,262726,0,4.37,social
45,26100,262726,1,4.37,social
45,27070,262726,1,4.37,social
45,27130,262726,0,4.37,social
45,27840,262726,0,4.37,alone
45,28310,262726,0,4.37,alone
45,28920,262726,0,4.37,social
45,29750,262726,0,4.37,social
45,31710,262726,1,4.37,alone
45,33440,262726,0,4.37,alone
45,34980,262726,1,4.37,social
45,35090,262726,0,4.37,alone
45,35170,262726,0,4.37,social
45,35640,262726,0,4.37,social
45,36890,262726,1,4.37,social
45,37450,262726,0,4.37,social
45,37650,262726,0,4.37,social
45,37830,262726,0,4.37,social
45,41020,262726,1,4.37,social
45,41310,262726,0,4.37,social
45,42010,262726,0,4.37,social
45,42050,262726,0,4.37,social
45,42680,262726,1,4.37,alone
45,43500,262726,0,4.37,social
45,45340,262726,0,4.37,social
45,45540,262726,1,4.37,social
45,45950,262726,0,4.37,social
45,46090,262726,0,4.37,alone
45,46140,262726,0,4.37,social
45,46590,262726,0,4.37,social
45,46700,262726,0,4.37,social
45,48210,262726,1,4.37,social
45,48430,262726,0,4.37,social
45,49690,262726,0,4.37,social
45,50210,262726,1,4.37,social
45,51190,262726,0,4.37,alone
60,4460,257578,0,4.04,social
60,4790,257578,1,4.04,social
60,5480,257578,0,4.04,social
60,8980,257578,0,4.04,social
60,9040,257578,0,4.04,social
60,10670,257578,1,4.04,social
60,11050,257578,1,4.04,social
60,11470,257578,1,4.04,social
60,12850,257578,0,4.04,social
60,14940,257578,0,4.04,social
60,16710,257578,0,4.04,social
60,17420,257578,0,4.04,alone
60,20870,257578,0,4.04,alone
60,21260,257578,0,4.04,alone
60,22820,257578,0,4.04,alone
60,22930,257578,0,4.04,alone
60,25090,257578,0,4.04,alone
60,25650,257578,0,4.04,social
60,26990,257578,0,4.04,alone
60,27810,257578,0,4.04,alone
60,28220,257578,0,4.04,social
60,28390,257578,0,4.04,social
60,28800,257578,0,4.04,alone
60,29690,257578,0,4.04,social
60,30050,257578,0,4.04,alone
60,30250,257578,0,4.04,social
60,30960,257578,0,4.04,social
60,30980,257578,0,4.04,social
60,33010,257578,0,4.04,social
60,34040,257578,0,4.04,alone
60,35280,257578,0,4.04,alone
60,36770,257578,0,4.04,social
60,37340,257578,0,4.04,social
60,37350,257578,0,4.04,social
61,3480,264368,0,4.95,alone
61,3640,264368,0,4.95,social
61,4840,264368,0,4.95,alone
61,4930,264368,0,4.95,alone
61,6360,264368,0,4.95,social
61,7630,264368,0,4.95,social
61,7980,264368,0,4.95,social
61,8560,264368,0,4.95,social
61,9630,264368,0,4.95,social
61,10330,264368,0,4.95,social
61,11250,264368,0,4.95,alone
61,12510,264368,0,4.95,alone
61,13300,264368,0,4.95,alone
