video_id,frame_number,child_id,kchi_present,age,object_class
126,8720,255237,1,5.9,none
126,9150,255237,0,5.9,none
126,9150,255237,0,5.9,none
126,9150,255237,0,5.9,none
126,9150,255237,0,5.9,none
126,11320,255237,0,5.9,none
126,11320,255237,0,5.9,5
126,11320,255237,0,5.9,6
126,12140,255237,0,5.9,none
126,12140,255237,0,5.9,none
126,12140,255237,0,5.9,6
126,12210,255237,0,5.9,none
126,12210,255237,0,5.9,none
126,12210,255237,0,5.9,6
126,13200,255237,0,5.9,none
126,13610,255237,0,5.9,none
126,13610,255237,0,5.9,6
126,14710,255237,0,5.9,none
126,14710,255237,0,5.9,none
126,14710,255237,0,5.9,6
126,14910,255237,0,5.9,10
126,14910,255237,0,5.9,none
126,14910,255237,0,5.9,6
126,15960,255237,0,5.9,none
126,15960,255237,0,5.9,6
126,16120,255237,0,5.9,none
126,16120,255237,0,5.9,6
126,16330,255237,0,5.9,none
126,16330,255237,0,5.9,none
126,16960,255237,0,5.9,none
126,16960,255237,0,5.9,6
126,17540,255237,0,5.9,none
126,17880,255237,0,5.9,none
126,17880,255237,0,5.9,6
126,18560,255237,0,5.9,none
126,18560,255237,0,5.9,none
126,18770,255237,0,5.9,none
126,21020,255237,0,5.9,none
126,21120,255237,0,5.9,none
126,22600,255237,0,5.9,none
126,22600,255237,0,5.9,6
126,23150,255237,0,5.9,none
126,23150,255237,0,5.9,6
126,23940,255237,0,5.9,none
126,24540,255237,0,5.9,none
126,24930,255237,1,5.9,none
126,26950,255237,1,5.9,none
126,26950,255237,1,5.9,6
126,27030,255237,0,5.9,none
126,27280,255237,0,5.9,none
126,27630,255237,0,5.9,none
126,27630,255237,0,5.9,6
126,27960,255237,0,5.9,none
126,27960,255237,0,5.9,6
126,28640,255237,0,5.9,none
126,30080,255237,0,5.9,none
126,30080,255237,0,5.9,6
126,30450,255237,0,5.9,none
126,30870,255237,0,5.9,none
126,31310,255237,0,5.9,none
126,31310,255237,0,5.9,6
126,32000,255237,0,5.9,none
126,32320,255237,0,5.9,none
126,32530,255237,0,5.9,none
126,33080,255237,0,5.9,none
126,33700,255237,0,5.9,none
126,33700,255237,0,5.9,none
126,33700,255237,0,5.9,6
126,34100,255237,0,5.9,none
126,34250,255237,0,5.9,none
126,35110,255237,0,5.9,none
126,35420,255237,0,5.9,none
126,35770,255237,0,5.9,none
126,36190,255237,0,5.9,none
126,36740,255237,0,5.9,none
126,37000,255237,0,5.9,none
