id,video_count,total_frames,video_length_min,processed_frames,video_length,frames_with_adult,frames_with_child,frames_with_adult_face,frames_with_child_face,frames_with_book,frames_with_toy,frames_with_kitchenware,frames_with_screen,frames_with_food,frames_with_other_object,frames_with_adult_percent,frames_with_child_percent,frames_with_adult_face_percent,frames_with_child_face_percent,frames_with_book_percent,frames_with_toy_percent,frames_with_kitchenware_percent,frames_with_screen_percent,frames_with_food_percent,frames_with_other_object_percent
254922,5,201729,112.07,20173,112.07,4095,2756,2682,1479,688,1373,97,14,18,1520,20.3,13.66,13.29,7.33,3.41,6.81,0.48,0.07,0.09,7.53
255237,6,282993,157.22,28300,157.22,5405,15208,1570,6359,1165,7373,50,53,333,2959,19.1,53.74,5.55,22.47,4.12,26.05,0.18,0.19,1.18,10.46
255695,4,68763,38.2,6877,38.2,2165,2357,780,1008,5,881,630,1,0,326,31.48,34.27,11.34,14.66,0.07,12.81,9.16,0.01,0.0,4.74
255706,2,72922,40.51,7293,40.51,3693,2122,1178,1359,379,1557,458,2,3,185,50.64,29.1,16.15,18.63,5.2,21.35,6.28,0.03,0.04,2.54
255944,5,138006,76.67,13801,76.67,3224,4767,849,2661,2067,1244,244,1,37,1243,23.36,34.54,6.15,19.28,14.98,9.01,1.77,0.01,0.27,9.01
256354,5,233015,129.45,23302,129.45,440,4783,7,6,0,76,83,1242,105,282,1.89,20.53,0.03,0.03,0.0,0.33,0.36,5.33,0.45,1.21
256461,8,370627,205.9,37063,205.9,162,30997,103,264,4,69,90,1,7,94,0.44,83.63,0.28,0.71,0.01,0.19,0.24,0.0,0.02,0.25
257108,1,18779,10.43,1878,10.43,858,132,598,79,173,29,5,0,0,101,45.69,7.03,31.84,4.21,9.21,1.54,0.27,0.0,0.0,5.38
257147,7,244923,136.07,24493,136.07,207,21701,151,291,107,25,1,52,0,68,0.85,88.6,0.62,1.19,0.44,0.1,0.0,0.21,0.0,0.28
257291,5,231290,128.49,23129,128.49,12583,1160,2642,462,5971,3723,516,1805,10,7625,54.4,5.02,11.42,2.0,25.82,16.1,2.23,7.8,0.04,32.97
257492,5,218794,121.55,21880,121.55,106,18040,44,41,17,50,7,0,12,31,0.48,82.45,0.2,0.19,0.08,0.23,0.03,0.0,0.05,0.14
257511,5,214623,119.24,21463,119.24,3052,5819,405,1532,28,294,50,58,79,199,14.22,27.11,1.89,7.14,0.13,1.37,0.23,0.27,0.37,0.93
257573,3,660,0.37,66,0.37,36,16,15,7,0,0,0,0,0,0,54.55,24.24,22.73,10.61,0.0,0.0,0.0,0.0,0.0,0.0
257578,9,9451,5.25,946,5.25,503,191,284,116,43,95,1,0,0,68,53.17,20.19,30.02,12.26,4.55,10.04,0.11,0.0,0.0,7.19
257608,13,603808,335.45,60381,335.45,22612,9752,1497,238,7531,2167,345,503,150,9394,37.45,16.15,2.48,0.39,12.47,3.59,0.57,0.83,0.25,15.56
257609,6,259322,144.07,25933,144.07,5497,4100,1812,1896,513,428,90,71,32,1404,21.2,15.81,6.99,7.31,1.98,1.65,0.35,0.27,0.12,5.41
258192,6,288393,160.22,28840,160.22,9,23541,11,12,0,0,0,0,0,1,0.03,81.63,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
258274,7,262241,145.69,26225,145.69,2162,651,569,72,2150,1925,87,8,20,5930,8.24,2.48,2.17,0.27,8.2,7.34,0.33,0.03,0.08,22.61
258309,9,334525,185.85,33453,185.85,4130,1524,2075,580,332,2606,240,17,101,3248,12.35,4.56,6.2,1.73,0.99,7.79,0.72,0.05,0.3,9.71
258541,7,306480,170.27,30648,170.27,3678,5468,2096,962,606,2799,92,14,66,2328,12.0,17.84,6.84,3.14,1.98,9.13,0.3,0.05,0.22,7.6
258704,16,672710,373.73,67271,373.73,7994,7918,5792,843,2927,5113,498,8429,290,12982,11.88,11.77,8.61,1.25,4.35,7.6,0.74,12.53,0.43,19.3
258827,6,273234,151.8,27324,151.8,2107,1047,520,30,92,5633,61,7,140,1303,7.71,3.83,1.9,0.11,0.34,20.62,0.22,0.03,0.51,4.77
260106,4,167788,93.22,16779,93.22,4278,3092,1912,1659,204,2807,37,15,23,576,25.5,18.43,11.4,9.89,1.22,16.73,0.22,0.09,0.14,3.43
260120,6,283293,157.39,28330,157.39,4425,1329,1766,359,757,1856,127,127,43,1518,15.62,4.69,6.23,1.27,2.67,6.55,0.45,0.45,0.15,5.36
260123,4,148663,82.59,14867,82.59,5271,2017,3409,1112,317,840,165,55,63,1456,35.45,13.57,22.93,7.48,2.13,5.65,1.11,0.37,0.42,9.79
260176,7,335017,186.12,33502,186.12,4277,7593,1396,4586,150,4147,25,19,4,1308,12.77,22.66,4.17,13.69,0.45,12.38,0.07,0.06,0.01,3.9
260178,4,172255,95.7,17226,95.7,4533,3100,1397,1683,165,669,51,25,35,885,26.31,18.0,8.11,9.77,0.96,3.88,0.3,0.15,0.2,5.14
260275,3,71171,39.54,7118,39.54,5142,2891,2032,1309,308,1432,407,3,2,1226,72.24,40.62,28.55,18.39,4.33,20.12,5.72,0.04,0.03,17.22
260478,2,103773,57.65,10378,57.65,1093,1495,379,787,2070,600,80,2,7,5174,10.53,14.41,3.65,7.58,19.95,5.78,0.77,0.02,0.07,49.86
260539,7,344497,191.39,34450,191.39,181,25407,47,401,31,18,13,2,0,16,0.53,73.75,0.14,1.16,0.09,0.05,0.04,0.01,0.0,0.05
260694,1,53952,29.97,5396,29.97,1606,1409,499,849,45,303,27,2,2,255,29.76,26.11,9.25,15.73,0.83,5.62,0.5,0.04,0.04,4.73
260772,4,147946,82.19,14795,82.19,2442,1863,708,611,381,1312,24,39,13,1340,16.51,12.59,4.79,4.13,2.58,8.87,0.16,0.26,0.09,9.06
261609,9,413430,229.68,41343,229.68,14698,14704,5500,6376,5637,10439,794,70,67,7814,35.55,35.57,13.3,15.42,13.63,25.25,1.92,0.17,0.16,18.9
261610,7,350961,194.98,35097,194.98,5647,11180,2743,5911,2234,7664,122,63,31,5340,16.09,31.85,7.82,16.84,6.37,21.84,0.35,0.18,0.09,15.21
262179,5,269760,149.87,26976,149.87,9578,4646,3871,3889,1394,1084,79,474,58,2036,35.51,17.22,14.35,14.42,5.17,4.02,0.29,1.76,0.22,7.55
262200,5,227175,126.21,22718,126.21,12896,1139,2522,337,1432,1081,266,66,53,1319,56.77,5.01,11.1,1.48,6.3,4.76,1.17,0.29,0.23,5.81
262208,4,192618,107.01,19262,107.01,4273,2150,984,1419,92,703,72,13,25,900,22.18,11.16,5.11,7.37,0.48,3.65,0.37,0.07,0.13,4.67
262246,8,366529,203.63,36653,203.63,5140,6611,1362,3596,636,1722,192,125,67,3838,14.02,18.04,3.72,9.81,1.74,4.7,0.52,0.34,0.18,10.47
262333,5,212616,118.12,21262,118.12,4258,471,1545,55,980,3545,55,80,39,1302,20.03,2.22,7.27,0.26,4.61,16.67,0.26,0.38,0.18,6.12
262356,5,240610,133.67,24061,133.67,4791,12029,3593,6007,146,1957,729,55,101,1714,19.91,49.99,14.93,24.97,0.61,8.13,3.03,0.23,0.42,7.12
262565,7,303319,168.51,30332,168.51,3375,10958,605,2744,2562,3894,109,1,252,5783,11.13,36.13,1.99,9.05,8.45,12.84,0.36,0.0,0.83,19.07
262691,5,208579,115.88,20858,115.88,11780,1465,2340,501,2416,3910,383,1061,788,1530,56.48,7.02,11.22,2.4,11.58,18.75,1.84,5.09,3.78,7.34
262726,12,564351,313.53,56436,313.53,12948,9482,7250,2705,1555,4200,211,61,96,4107,22.94,16.8,12.85,4.79,2.76,7.44,0.37,0.11,0.17,7.28
262748,4,160731,89.3,16074,89.3,4082,2458,1482,1061,92,1682,339,36,140,1532,25.4,15.29,9.22,6.6,0.57,10.46,2.11,0.22,0.87,9.53
262758,2,102544,56.97,10255,56.97,1458,2976,364,1496,52,793,28,4,44,456,14.22,29.02,3.55,14.59,0.51,7.73,0.27,0.04,0.43,4.45
263190,5,227782,126.55,22779,126.55,1303,6038,1645,2236,11,1277,744,1,263,1395,5.72,26.51,7.22,9.82,0.05,5.61,3.27,0.0,1.15,6.12
263239,3,112829,62.68,11283,62.68,3142,264,697,52,91,617,8,46,22,574,27.85,2.34,6.18,0.46,0.81,5.47,0.07,0.41,0.19,5.09
263284,8,431616,239.79,43162,239.79,5674,4606,4691,776,108,1430,874,38,57,3580,13.15,10.67,10.87,1.8,0.25,3.31,2.02,0.09,0.13,8.29
263293,3,130106,72.28,13011,72.28,6862,6204,4284,4445,740,954,146,84,24,1441,52.74,47.68,32.93,34.16,5.69,7.33,1.12,0.65,0.18,11.08
263652,7,243331,135.18,24334,135.18,7840,3249,4288,2719,579,1300,171,48,59,3118,32.22,13.35,17.62,11.17,2.38,5.34,0.7,0.2,0.24,12.81
263880,1,36662,20.37,3667,20.37,999,370,213,103,21,160,13,1,7,127,27.24,10.09,5.81,2.81,0.57,4.36,0.35,0.03,0.19,3.46
263986,7,327435,181.91,32744,181.91,8085,4361,3045,1758,739,1246,215,46,90,2338,24.69,13.32,9.3,5.37,2.26,3.81,0.66,0.14,0.27,7.14
264089,5,251743,139.86,25175,139.86,2477,9040,1373,2434,184,747,670,11,24,1602,9.84,35.91,5.45,9.67,0.73,2.97,2.66,0.04,0.1,6.36
264235,4,196570,109.21,19657,109.21,5751,1273,1439,354,866,826,211,39,162,2862,29.26,6.48,7.32,1.8,4.41,4.2,1.07,0.2,0.82,14.56
264351,5,237975,132.21,23798,132.21,14265,2115,6228,689,274,2223,281,69,39,2358,59.94,8.89,26.17,2.9,1.15,9.34,1.18,0.29,0.16,9.91
264356,4,194713,108.17,19472,108.17,6319,5886,1897,4751,256,1733,92,9,312,1231,32.45,30.23,9.74,24.4,1.31,8.9,0.47,0.05,1.6,6.32
264368,5,197255,109.59,19726,109.59,8614,1990,3687,895,1115,1950,357,92,222,2187,43.67,10.09,18.69,4.54,5.65,9.89,1.81,0.47,1.13,11.09
264585,8,378246,210.14,37825,210.14,12377,4890,5445,913,696,5716,255,108,92,2650,32.72,12.93,14.4,2.41,1.84,15.11,0.67,0.29,0.24,7.01
264683,3,135503,75.28,13551,75.28,3428,1633,1328,1023,277,1260,72,45,97,1329,25.3,12.05,9.8,7.55,2.04,9.3,0.53,0.33,0.72,9.81
265514,16,657655,365.36,65766,365.36,15342,2102,4390,227,2368,2173,66,129,113,4026,23.33,3.2,6.68,0.35,3.6,3.3,0.1,0.2,0.17,6.12
266050,19,753364,418.54,75337,418.54,16506,16260,8980,7364,988,5853,874,94,237,7096,21.91,21.58,11.92,9.77,1.31,7.77,1.16,0.12,0.31,9.42
266063,5,191297,106.28,19130,106.28,9469,4802,4494,1362,43,4009,31,20,86,805,49.5,25.1,23.49,7.12,0.22,20.96,0.16,0.1,0.45,4.21
266151,3,79203,44.0,7921,44.0,1999,739,504,36,12,333,9,7,1,458,25.24,9.33,6.36,0.45,0.15,4.2,0.11,0.09,0.01,5.78
266606,8,259156,143.98,25916,143.98,9105,1645,3999,161,1818,585,387,61,118,3114,35.13,6.35,15.43,0.62,7.01,2.26,1.49,0.24,0.46,12.02
266822,8,338929,188.29,33893,188.29,11675,1020,3954,102,894,756,250,101,298,3618,34.45,3.01,11.67,0.3,2.64,2.23,0.74,0.3,0.88,10.67
266971,12,531527,295.29,53153,295.29,14693,11618,6656,3976,899,2721,609,103,253,4539,27.64,21.86,12.52,7.48,1.69,5.12,1.15,0.19,0.48,8.54
267094,4,179872,99.93,17988,99.93,6558,1078,2988,595,167,1500,358,18,94,1275,36.46,5.99,16.61,3.31,0.93,8.34,1.99,0.1,0.52,7.09
267863,4,172416,95.79,17242,95.79,4316,2981,939,1563,324,1264,63,84,9,1274,25.03,17.29,5.45,9.07,1.88,7.33,0.37,0.49,0.05,7.39
268898,6,273541,151.97,27355,151.97,10555,5839,2802,2697,1445,376,1273,426,498,3525,38.59,21.35,10.24,9.86,5.28,1.37,4.65,1.56,1.82,12.89
271611,7,286457,159.14,28646,159.14,2972,2895,2210,232,1005,3994,471,21,158,2757,10.37,10.11,7.71,0.81,3.51,13.94,1.64,0.07,0.55,9.62
271700,6,200637,111.46,20064,111.46,9361,2115,5093,1233,736,1244,130,39,89,2130,46.66,10.54,25.38,6.15,3.67,6.2,0.65,0.19,0.44,10.62
272475,4,171070,95.04,17107,95.04,5154,1768,1888,868,1211,676,169,25,26,2002,30.13,10.33,11.04,5.07,7.08,3.95,0.99,0.15,0.15,11.7
273855,6,303755,168.75,30376,168.75,6960,1994,2302,656,588,1060,74,33,20,1433,22.91,6.56,7.58,2.16,1.94,3.49,0.24,0.11,0.07,4.72
275411,8,375733,208.74,37574,208.74,11115,4328,4124,882,226,2559,231,107,64,1976,29.58,11.52,10.98,2.35,0.6,6.81,0.61,0.28,0.17,5.26
