PROJECT;ID;Date;Nr;Seconds per ID;Minutes_per_ID;Seconds;Duration;Comments;file name  (generated automatically);SA_name;powershell rename command;Labeled;;nr str;date_str;;
quantex_share;260730;11.12.2023;1;11678;194,63;455,00;00:07:35;;quantex_share_id260730_2023_12_11_01;172864;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260730_2023_12_11_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\172864.MP4;yes;;01;2023_12_11;;quantex_share_id280989_2024_03_18_01.MP4
quantex_share;260730;12.12.2023;1;11678;194,63;662,00;00:11:02;;quantex_share_id260730_2023_12_12_01;390182;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260730_2023_12_12_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\390182.MP4;yes;;01;2023_12_12;;
quantex_share;260730;19.12.2023;2;11678;194,63;1800,00;00:30:00;;quantex_share_id260730_2023_12_19_02;394148;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260730_2023_12_19_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\394148.MP4;yes;;02;2023_12_19;;
quantex_share;260730;19.12.2023;1;11678;194,63;1800,00;00:30:00;;quantex_share_id260730_2023_12_19_01;641026;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260730_2023_12_19_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\641026.MP4;yes;;01;2023_12_19;;
quantex_share;260730;21.12.2023;1;11678;194,63;1449,00;00:24:09;;quantex_share_id260730_2023_12_21_01;987009;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260730_2023_12_21_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\987009.MP4;yes;;01;2023_12_21;;
quantex_share;260730;12.02.2024;1;11678;194,63;1405,00;00:23:25;;quantex_share_id260730_2024_02_12_01;944344;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id260730_2024_02_12_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\944344.MP4;yes;;01;2024_02_12;;
quantex_share;264521;19.02.2024;2;5300;88,33;964,00;00:16:04;"0:00-0:02; 3:48-4:01; 4:11-4:15;5:33-5:35";quantex_share_id264521_2024_02_19_02;697461;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id264521_2024_02_19_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\697461.MP4;yes;;02;2024_02_19;;
quantex_share;264521;19.02.2024;1;5300;88,33;454,00;00:07:34;"1:03-1:05; 2:40-2:48; 3:08-3:11; 3:22-3:26; 3:32-3:40; fasst sehr häufig die Kamera an und verdeckt das Bild für eine Sekunde oder länger; Kind zieht Weste aus ab 3:40 bis Ende, ab dann eigentlich nur noch schwarz";quantex_share_id264521_2024_02_19_01;861911;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id264521_2024_02_19_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\861911.MP4;yes;;01;2024_02_19;;
quantex_share;264521;20.02.2024;3;5300;88,33;580,00;00:09:40;"0:00-0:07 (teilweise verdeckt); 0:27-0:35; 1:47-2:00; 2:29-2:31; 5:21-5:23;  7:55-8:00; 8:34-8:41; ";quantex_share_id264521_2024_02_20_03;259814;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id264521_2024_02_20_03.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\259814.MP4;yes;;03;2024_02_20;;
quantex_share;264521;20.02.2024;2;5300;88,33;791,00;00:13:11;"0:25-0:33; 2:48-2:50; 9:52-9:53; 12:12-12:43; 12:57-13:05";quantex_share_id264521_2024_02_20_02;497568;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id264521_2024_02_20_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\497568.MP4;yes;;02;2024_02_20;;
